"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(ElectroPuls (0,1) Waveform)","Position(ElectroPuls (0,1):Position) (mm)","Load(ElectroPuls (0,1):Load) (N)","Displacement(ElectroPuls (0,1):Digital Position) (mm)",
0,0,1,1,1,1,-25.0009930260719,-0.0652619637548923,-21.2256838252741,
4,4,1,1,1,1,-24.6747166121381,-0.00795722007751465,-20.8963711502574,
8,8,1,1,1,1,-24.3454969209139,0.174017157405615,-20.5628956869398,
12,12,1,1,1,1,-24.0149057268455,0.391575740650296,-20.2296634105676,
16,16,1,1,1,1,-23.6862367825262,0.578686594963074,-19.8939170103332,
20,20,1,1,1,1,-23.3565503869444,0.744335353374481,-19.558494263313,
24,24,1,1,1,1,-23.0279458156399,0.904038548469543,-19.2236848480742,
28,28,1,1,1,1,-22.6999277540264,1.05097820051014,-18.8890131195619,
32,32,1,1,1,1,-22.3691774155601,1.19080394506454,-18.5527910742725,
36,36,1,1,1,1,-22.0401901824452,1.30470632575452,-18.2151510345147,
40,40,1,1,1,1,-21.7118842304041,1.41508923843503,-17.8810461461619,
44,44,1,1,1,1,-21.382267572255,1.51945441029966,-17.546558595998,
48,48,1,1,1,1,-21.0522754048526,1.61454710178077,-17.2114916886993,
52,52,1,1,1,1,-20.7250763110392,1.69915170408785,-16.8804677643682,
56,56,1,1,1,1,-20.3935695896484,1.78995518945158,-16.5457209340051,
60,60,1,1,1,1,-20.0657214012685,1.87193928286433,-16.2152513328584,
64,64,1,1,1,1,-19.7366733714173,1.94688769988716,-15.8830382958898,
68,68,1,1,1,1,-19.4057120325135,2.02117627486587,-15.551352760016,
72,72,1,1,1,1,-19.0765602905828,2.0930755417794,-15.2203467170779,
76,76,1,1,1,1,-18.7483187115566,2.15885904617608,-14.8896196238714,
80,80,1,1,1,1,-18.4196426146801,2.22037476487458,-14.5593306247944,
84,84,1,1,1,1,-18.0899973463022,2.28654663078487,-14.2285507814784,
88,88,1,1,1,1,-17.7601947216657,2.34746467322111,-13.8978522985007,
92,92,1,1,1,1,-17.4305852160738,2.40607489831746,-13.5677537362597,
96,96,1,1,1,1,-17.1023704591371,2.46039568446577,-13.2367378585554,
100,100,1,1,1,1,-16.7727877756348,2.5171407032758,-12.9058033411895,
104,104,1,1,1,1,-16.4428993203118,2.57580541074276,-12.5745827215349,
108,108,1,1,1,1,-16.1141356046096,2.62417620979249,-12.2420540779791,
112,112,1,1,1,1,-15.7851483714946,2.67110601998866,-11.9106394452099,
116,116,1,1,1,1,-15.4554727047486,2.72320141084492,-11.5773830289571,
120,120,1,1,1,1,-15.1266946839319,2.77578318491578,-11.2439799852813,
124,124,1,1,1,1,-14.7963565115746,2.82554840669036,-10.9096739312568,
128,128,1,1,1,1,-14.4665923319332,2.86786793731153,-10.5755305979089,
132,132,1,1,1,1,-14.1382202187379,2.91764084249735,-10.2397833036049,
136,136,1,1,1,1,-13.8091373201704,2.96877068467438,-9.9043158531021,
140,140,1,1,1,1,-13.4782752229977,3.00944829359651,-9.56877955923604,
144,144,1,1,1,1,-13.1513237864776,3.05237527936697,-9.23555443542107,
148,148,1,1,1,1,-12.8216141450848,3.10344016179442,-8.89936189443024,
152,152,1,1,1,1,-12.492017156468,3.13969934359193,-8.56398832124089,
156,156,1,1,1,1,-12.1623110913539,3.17829055711627,-8.22989863207218,
160,160,1,1,1,1,-11.8337664227161,3.22495074942708,-7.89668960151095,
164,164,1,1,1,1,-11.5044921932432,3.26520670205355,-7.56418241562674,
168,168,1,1,1,1,-11.1748549714921,3.29583883285522,-7.23415403785342,
172,172,1,1,1,1,-10.845463618895,3.33704706281424,-6.90422177256772,
176,176,1,1,1,1,-10.5164146949742,3.38325439952314,-6.57679111416904,
180,180,1,1,1,1,-10.1873523600086,3.41742485761642,-6.25022144484549,
